#Table1
objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237648721220141175,155.775335174864,-0.200854309052414,19.44082,17.37083,16.33696,15.88241,15.48007,756,301,3,267,306307754266486784,GALAXY,0.09257647,272,51941,229
1237648721220010190,155.561087973478,-0.0272458372320898,19.03819,17.79249,17.22686,16.85721,16.63472,756,301,3,265,306316550359508992,GALAXY,0.1125911,272,51941,261
1237648721220010158,155.541744563137,-0.0553723844187904,19.53143,17.72145,16.83091,16.39734,16.08084,756,301,3,265,305129901462153216,GALAXY,0.07183877,271,51883,40
1237648721220010121,155.48400073013,-0.0715215394280345,19.52335,17.58873,16.70269,16.24651,15.89563,756,301,3,265,305128252194711552,GALAXY,0.07870299,271,51883,34
1237648721219813488,155.015866294537,-0.113941461692174,19.18205,17.14069,16.10541,15.68298,15.29503,756,301,3,262,305139522188896256,GALAXY,0.1253822,271,51883,75
1237648721219748093,154.982999531702,-0.20143159709187,19.10244,17.63602,16.90735,16.52213,16.25722,756,301,3,261,305151341938894848,GALAXY,0.06346736,271,51883,118
1237648721219748023,154.864283732507,-0.0345391738197167,18.37732,16.88301,16.28039,15.94014,15.78495,756,301,3,261,305151616816801792,GALAXY,0.04713511,271,51883,119
1237648721219747888,154.856162751645,-0.0299068495406669,18.79426,18.34404,18.25214,18.3229,18.19995,756,301,3,261,306329744499042304,QSO,0.8181214,272,51941,309
1237648721219682384,154.795923129408,-0.15386057739034,19.09539,18.11292,17.78169,17.65197,17.57892,756,301,3,260,4313406748750749696,STAR,0.0004892497,3831,55543,306
1237648721219682357,154.749361453047,-0.182520789766171,19.19234,17.33534,16.35525,15.85395,15.51435,756,301,3,260,305161512421451776,GALAXY,0.09228784,271,51883,155
1237648721219616998,154.651835187861,-0.178075477796774,18.74892,16.90716,15.95795,15.48473,15.08246,756,301,3,259,306328095231600640,GALAXY,0.06359103,272,51941,303
1237648721219616970,154.618369032971,-0.0706202266834076,19.35042,17.61593,16.72431,16.21484,15.82124,756,301,3,259,306330019376949248,GALAXY,0.06570753,272,51941,310
1237648721219616899,154.54904278762,-0.149462427123544,19.56517,17.64734,16.72979,16.29004,15.9327,756,301,3,259,305168384369125376,GALAXY,0.06397337,271,51883,180
1237648721219616883,154.535588626542,-0.0842082983137502,19.23177,17.46849,16.54995,16.02666,15.61895,756,301,3,259,306328370109507584,GALAXY,0.0610805,272,51941,304
1237648721219616821,154.622479074877,-0.141871295671353,19.06688,18.69043,18.51842,18.41969,18.17964,756,301,3,259,305160412909824000,QSO,2.137572,271,51883,151
1237648721219616818,154.611917786821,-0.164199838241081,18.79575,18.57321,18.55136,18.35209,18.30321,756,301,3,259,305160687787730944,QSO,1.812651,271,51883,152
1237648721219616807,154.598453045893,-0.0910453080395938,18.94769,18.79742,18.65749,18.60048,18.73997,756,301,3,259,305162337055172608,QSO,1.40169,271,51883,158
1237648721219551422,154.452717544729,-0.0307630139543008,18.6479,16.66485,15.59894,15.12062,14.85318,756,301,3,258,305165085834242048,GALAXY,0.06358586,271,51883,168
1237648721219551387,154.427149469344,-0.193461067969318,19.10797,17.57482,16.77922,16.37828,16.08525,756,301,3,258,305166185345869824,GALAXY,0.09604297,271,51883,172
1237648721219551336,154.388382115115,-0.0292469703871962,19.50942,17.5641,16.60739,16.10064,15.76186,756,301,3,258,305173881927264256,QSO,0.06103761,271,51883,200
1237648721219551236,154.38665895977,-0.0731250644915052,19.40503,17.48724,16.53689,16.08374,15.7189,756,301,3,258,305172507537729536,GALAXY,0.0655472,271,51883,195
1237648721219485979,154.279099297899,-0.175661495411846,18.58894,17.37458,16.94893,16.7297,16.77008,756,301,3,257,305183227776100352,GALAXY,0.03401261,271,51883,234
1237648721219485758,154.359635248295,-0.164217092623191,19.03104,18.46669,18.11303,18.04101,17.43849,756,301,3,257,305171957781915648,QSO,0.3449105,271,51883,193
1237648721219485706,154.244422242803,-0.119017276736211,19.10702,19.07256,18.79198,18.64582,18.07549,756,301,3,257,305181578508658688,QSO,0.3372652,271,51883,228
1237648721219420336,154.12177055748,-0.0269904513215089,19.44706,18.06446,17.47818,17.14834,16.89766,756,301,3,256,305228032874932224,GALAXY,0.1043095,271,51883,397
1237648721219354811,154.002658423186,-0.112700987831629,19.09596,17.07662,16.16983,15.72136,15.34942,756,301,3,255,305191748991215616,GALAXY,0.05991426,271,51883,265
1237648721219092863,153.449438632111,-0.174722051779841,19.33492,17.25626,16.32616,15.91549,15.54986,756,301,3,251,304025717346166784,GALAXY,0.08873131,270,51909,119
1237648721219092716,153.398299671081,-0.175484772684325,19.52077,17.50807,16.52395,16.08269,15.73608,756,301,3,251,304158208497313792,GALAXY,0,270,51909,601
1237648721219092632,153.47429239505,-0.154835468680885,18.73601,16.59921,15.56108,15.12695,14.77491,756,301,3,251,304014997107795968,GALAXY,0.098474,270,51909,80
1237648721219092504,153.364274500903,-0.0290975080585189,17.88942,16.55713,16.10999,15.9643,15.89903,756,301,3,251,304135393631037440,STAR,-0.0001454137,270,51909,518
1237648721218961430,153.078393446964,-0.0602616563675149,17.35868,16.26491,15.91327,15.79312,15.79815,756,301,3,249,304127422171736064,STAR,-8.446973E-05,270,51909,489
1237648721218765142,152.67494753381,-0.127761597844867,19.04204,17.87724,17.45017,17.21807,17.22886,756,301,3,246,304040560753141760,GALAXY,0.05841528,270,51909,173
1237648721218765006,152.716994596474,-0.13428038179901,17.95627,16.46152,15.72164,15.30538,15.0177,756,301,3,246,304040010997327872,GALAXY,0.06864782,270,51909,171
1237648721218699455,152.528980855089,-0.0577001351457921,18.59652,17.28157,16.71329,16.36005,16.12741,756,301,3,245,304120825101969408,GALAXY,0.05838413,270,51909,465
1237648721218699441,152.505930978519,-0.19791262720974,18.99524,17.87855,17.19045,16.82093,16.56422,756,301,3,245,304046058311280640,GALAXY,0.1512586,270,51909,193
1237648721218699400,152.463010730857,-0.121920000876416,18.70498,17.23423,16.5517,16.18321,15.91227,756,301,3,245,304047707578722304,GALAXY,0.06256203,270,51909,199
1237648721218699361,152.567216896437,-0.0747872633850973,17.89386,16.11245,15.34051,15.00042,14.70411,756,301,3,245,304123024125224960,GALAXY,0.09642068,270,51909,473
1237648721218634007,152.432608580649,-0.0521289999164167,18.951,17.08533,16.11569,15.69776,15.33339,756,301,3,244,304124948270573568,GALAXY,0.09537001,270,51909,480
